name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
TOMS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	73	13	9	14	15	16	20	19
VALTERS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	66	46	33	28	30
VIESTURS	boys	latvia	0	94	0	86	60	71	63	53	70	75	78	83	93	91	93	98	0	0	0	94	94
ĀRONS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
STEFANS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91
MAIKLS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93
ADRIANS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	28	11	13	9
ALBERTS	boys	latvia	10	9	12	9	21	31	48	71	83	0	0	0	0	0	0	0	0	0	92	66	47
ALEKSANDRS	boys	latvia	6	7	9	7	9	6	4	3	3	4	4	2	2	2	5	6	3	6	6	8	11
ALEKSEJS	boys	latvia	61	63	75	83	70	57	49	49	42	44	33	9	9	12	12	24	28	33	34	48	87
ALEKSS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	28	24	15
ANDREJS	boys	latvia	23	23	29	21	12	13	15	16	11	8	5	4	3	4	8	12	15	22	27	36	67
ARMANDS	boys	latvia	0	0	0	0	0	0	0	0	48	33	38	37	44	37	41	37	35	54	53	63	98
ARTEMIJS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	96	82	99
ARTJOMS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	90	60	28	27	12	10	7	7	23
ARTURS	boys	latvia	26	26	39	58	65	96	0	91	98	97	90	92	80	40	22	33	41	52	63	74	88
ARTŪRS	boys	latvia	31	35	51	73	71	88	91	78	71	62	55	51	29	8	4	2	2	4	10	10	17
AUGUSTS	boys	latvia	25	53	68	87	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
BOGDANS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	74
BRUNO	boys	latvia	60	51	63	79	83	0	0	0	0	0	0	0	0	0	0	0	0	0	89	72	58
DAMIRS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	55
DANIELS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	7	1	4	9	7
DANIILS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	21	30	32	50
DAVIDS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	53
MIĶELIS	boys	latvia	46	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	57	52
NIKITA	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	48	47	56	59
NIKS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	26	34	50	73	85
ŅIKITA	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	21	6	11	19	40	60
OLIVERS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	16	1
OSKARS	boys	latvia	39	64	0	0	91	84	74	61	60	60	49	41	26	25	16	18	43	44	45	41	40
PATRIKS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	49	35	49
PAULS	boys	latvia	98	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	45
PĒTERIS	boys	latvia	2	2	2	2	2	3	6	9	14	31	48	53	66	69	46	51	78	76	84	64	96
RALFS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	23	7	8	4	13
REINIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	98	74	40	20	24	31	39	37	24
LŪKASS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
LEO	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
RAIENS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
REGNĀRS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
KURTS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
LUKASS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78
