name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
REBEKA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	71	60	43	45
RĒZIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	91	85	68
RŪTA	girls	latvia	0	0	92	77	51	82	88	0	0	0	0	0	0	0	71	66	92	69	51	44	54
SAMANTA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	7	9	18	29	60
SĀRA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	68	43
MIA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
SOFIA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65
MIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
ARIANA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
IZABELLA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
MILA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
AMELIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86
AGATA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89
LAURA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	79	27	24	6	1	2	4	11	22	34
LETĪCIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	66
LINDA	girls	latvia	0	0	0	0	0	0	0	0	0	97	43	43	23	9	13	8	8	21	37	47	88
LĪVA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	61	40	42	45	33	36	40	56
LORETA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	56	48	51	62
LOTE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	82	84
LUĪZE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	51	32	33	30
MADARA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	46	8	12	18	24	14	17	26
MAIJA	girls	latvia	0	0	79	40	10	6	27	37	39	46	62	61	50	54	54	74	0	0	78	49	32
MARIJA	girls	latvia	2	2	3	3	2	4	8	17	37	62	94	73	52	36	31	17	17	15	13	15	15
MARTA	girls	latvia	8	23	34	49	55	86	0	0	0	0	0	0	0	91	53	24	19	7	6	3	5
MATILDE	girls	latvia	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
MĀRA	girls	latvia	0	0	0	90	21	9	25	38	50	56	83	99	0	0	73	0	0	0	0	93	72
MEGIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	39	36	44	64	91
